step,with_ch_coding,wo_ch_coding
73,0.043457042,0.041558482
74,0.044850647,0.046533171
75,0.040300321,0.04100794
76,0.04006194,0.042006277
77,0.041819099,0.043918014
78,0.043348595,0.042681389
79,0.043362379,0.043307308
80,0.042431794,0.040971022
81,0.039361279,0.038772304
82,0.050972413,0.040976658
83,0.054801021,0.045842852
84,0.042763073,0.042731505
85,0.049598865,0.046348147
86,0.035716921,0.034124836
87,0.056305379,0.044012405
88,0.06060154,0.049401332
89,0.044954631,0.043450981
90,0.04391126,0.042480379
91,0.065677337,0.047118925
92,0.048700824,0.038492355
93,0.04223362,0.041227266
94,0.041075319,0.039516263
95,0.04019111,0.040422615
96,0.039552845,0.043674771
97,0.044902917,0.037843902
98,0.042525198,0.043544959
99,0.053843491,0.037310857
100,0.038965162,0.037667774
101,0.038403045,0.039982304
102,0.04152552,0.037430655
103,0.054573182,0.041151762
104,0.051666528,0.048561204
105,0.037803236,0.03693803
106,0.037969094,0.039623704
107,0.050482225,0.038196895
108,0.064339101,0.062075369
109,0.044739775,0.049818926
110,0.051193558,0.042164005
111,0.041611873,0.038059723
112,0.042022172,0.040462688
113,0.060585175,0.041558705
114,0.057563163,0.044466924
115,0.044766422,0.043305315
116,0.057558816,0.048527941
117,0.040538635,0.040064562
118,0.043613587,0.047063231
119,0.041981317,0.041998398
120,0.052433025,0.041038997
121,0.04268321,0.041335363
122,0.033845864,0.03279829
123,0.041658457,0.040463399
124,0.059004031,0.045161642
125,0.052240044,0.040660132
126,0.055458244,0.043823019
127,0.037156206,0.037490383
128,0.044988818,0.04486594
129,0.040853165,0.039192896
130,0.037871629,0.038262367
131,0.044227589,0.041955136
132,0.046998102,0.044654611
133,0.057387851,0.04278475
134,0.041459553,0.040778525
135,0.041054692,0.038591985
136,0.047059294,0.046800621
137,0.049466003,0.039648872
138,0.041137036,0.03915906
139,0.048920151,0.041040529
140,0.049209118,0.047376093
141,0.04524342,0.046138726
142,0.05435653,0.040863596
143,0.050952289,0.048892926
144,0.046236597,0.043547507
145,0.042923823,0.04083778
146,0.040708434,0.038814053
147,0.046503056,0.050050709
148,0.042149074,0.042305209
149,0.047962036,0.047821242
150,0.043290194,0.039839152
151,0.044705227,0.042978164
152,0.044168461,0.039712507
153,0.041441217,0.041210845
154,0.039234713,0.037187912
155,0.03986039,0.038156014
156,0.044380799,0.042976029
157,0.060200229,0.050729718
158,0.040314563,0.036890209
159,0.053815056,0.038076662
160,0.03723947,0.036086913
161,0.046045225,0.038820826
162,0.042067047,0.040308345
163,0.042493973,0.042162228
164,0.043032289,0.033617124
165,0.041509192,0.042736836
166,0.044846654,0.043287169
167,0.036352623,0.036841318
168,0.047381479,0.050899968
169,0.037148066,0.039549593
170,0.04575491,0.040908821
171,0.047670376,0.043258224
172,0.049259543,0.041527323
173,0.042448506,0.038323928
174,0.055993494,0.043103505
175,0.042904098,0.041313536
176,0.034872506,0.036022756
177,0.040689468,0.038893949
178,0.042995349,0.04454482
179,0.04042092,0.04075535
180,0.044720531,0.04257473
181,0.040672239,0.04007243
182,0.046063691,0.036231376
183,0.059761811,0.043219928
184,0.044507407,0.042593256
185,0.047286864,0.044160068
186,0.052017551,0.036915351
187,0.04486005,0.04585629
188,0.036741097,0.037249792
189,0.047228456,0.039425366
190,0.063953787,0.038239572
191,0.040918361,0.039517175
192,0.044956196,0.042436186
193,0.059089072,0.040438119
194,0.050068162,0.038564559
195,0.057770558,0.040899765
196,0.045925304,0.041202642
197,0.046609141,0.043482486
198,0.039395262,0.038275983
199,0.042588741,0.039393969
200,0.041485954,0.042623702
201,0.047591418,0.043264523
202,0.040668495,0.039504141
203,0.038471416,0.040261012
204,0.044527497,0.042101953
205,0.053445682,0.041826013
206,0.05968735,0.04163067
207,0.041917752,0.040809456
208,0.042406026,0.040567242
209,0.048415545,0.03677351
210,0.036467642,0.036102787
211,0.038755961,0.038118191
212,0.04099011,0.038315423
213,0.041114777,0.040167872
214,0.047538273,0.043703731
215,0.040802486,0.040446751
216,0.040368918,0.040890783
217,0.04355726,0.044312518
218,0.051362809,0.044636492
219,0.054067012,0.039443638
220,0.043840438,0.0428936
221,0.03780574,0.035389777
222,0.053917106,0.040629882
223,0.036611836,0.035792664
224,0.034721814,0.034085799
225,0.041192196,0.038860373
226,0.060582865,0.040447891
227,0.052143317,0.039418072
228,0.052167382,0.043366168
229,0.048624203,0.047453392
230,0.043547139,0.044026028
231,0.035247177,0.036045805
232,0.041782707,0.046957307
233,0.038628571,0.037025888
234,0.059174787,0.04634149
235,0.042888958,0.042280432
236,0.041541688,0.039305735
237,0.045756236,0.041085042
238,0.038980555,0.037491385
239,0.04065372,0.040525872
240,0.042855345,0.039928552
241,0.045210302,0.038995702
242,0.043633126,0.043274108
243,0.048342679,0.044853266
244,0.037673436,0.03592084
245,0.037665393,0.036293112
246,0.044823606,0.044158041
247,0.045163549,0.041023828
248,0.045703527,0.042047866
249,0.043718532,0.04172051
250,0.04503848,0.045372631
251,0.040124532,0.039523456
252,0.043344215,0.037193161
253,0.040461373,0.037495773
254,0.054788221,0.041740533
255,0.040801767,0.040647119
256,0.044046819,0.037519377
257,0.035420738,0.037062991
258,0.042745594,0.043232199
259,0.039601658,0.039953388
260,0.044507261,0.043162499
261,0.042801507,0.041726615
262,0.036214884,0.036365137
263,0.054639064,0.036145244
264,0.040908396,0.03838139
265,0.040928543,0.039331183
266,0.043948539,0.043385804
267,0.042319216,0.038187344
268,0.040484238,0.038673863
269,0.046432164,0.044697482
270,0.047755718,0.046513505
271,0.045991074,0.045385197
272,0.05305855,0.041542739
273,0.065253243,0.04104203
274,0.04109918,0.041512925
275,0.039467093,0.037800286
276,0.043321006,0.045783266
277,0.039314229,0.038606849
278,0.037773684,0.038053561
279,0.053158347,0.042300899
280,0.046211205,0.046458792
281,0.056874219,0.043911491
282,0.042207118,0.040618464
283,0.053257588,0.039167438
284,0.041839622,0.041227747
285,0.054167897,0.046338279
286,0.043598004,0.042663299
287,0.037063915,0.035875764
288,0.062002745,0.048297081
289,0.040550206,0.040230826
290,0.049731854,0.048265465
291,0.040552601,0.036906514
292,0.053640258,0.038022533
293,0.050074212,0.038277969
294,0.046467755,0.042781066
295,0.03924362,0.040117491
296,0.033716295,0.031648669
297,0.045016803,0.042590667
298,0.056498341,0.044082198
299,0.070524029,0.041299958
300,0.040122621,0.04695024
301,0.039067417,0.038011201
302,0.040918645,0.038112633
303,0.044121988,0.039750222
304,0.044352803,0.048127003
305,0.038647678,0.038225304
306,0.041068688,0.041979257
307,0.058897369,0.052180257
308,0.0395783,0.040261157
309,0.043046433,0.039800595
310,0.069300942,0.04890158
311,0.042872988,0.039257232
312,0.045980826,0.046717308
